,Unnamed: 0.1,Unnamed: 0,molecule_chembl_id,standard_value,class,canonical_smiles
0,0,0,CHEMBL133897,750.0,active,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1
1,1,1,CHEMBL336398,100.0,active,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1
2,2,2,CHEMBL131588,50000.0,inactive,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1
3,3,3,CHEMBL130628,300.0,active,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F
4,4,4,CHEMBL130478,800.0,active,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C
5,5,5,CHEMBL130112,2400.0,intermediate,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1
6,6,6,CHEMBL130098,100.0,active,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
7,7,7,CHEMBL337486,50000.0,inactive,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1
8,8,8,CHEMBL336538,800.0,active,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1
9,9,9,CHEMBL131051,50000.0,inactive,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1
10,10,10,CHEMBL341437,50000.0,inactive,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1
11,11,11,CHEMBL335033,50.0,active,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C
12,12,12,CHEMBL122983,100000.0,inactive,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1
13,13,13,CHEMBL338720,560.0,active,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C
14,14,14,CHEMBL339995,10.0,active,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C
15,15,15,CHEMBL335158,10.0,active,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1
16,16,16,CHEMBL131536,1400.0,intermediate,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1
17,17,17,CHEMBL106126,17000.0,inactive,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1
18,18,18,CHEMBL334971,1100.0,intermediate,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1
19,19,19,CHEMBL336625,50000.0,inactive,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1
20,20,20,CHEMBL130666,26.0,active,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1
21,21,21,CHEMBL134061,50000.0,inactive,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F
22,22,22,CHEMBL133388,800.0,active,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C
23,23,23,CHEMBL130645,50000.0,inactive,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1
24,24,25,CHEMBL133580,50000.0,inactive,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1
25,25,26,CHEMBL336524,56.0,active,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
26,26,27,CHEMBL336276,200.0,active,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C
27,27,28,CHEMBL334395,300.0,active,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
28,28,29,CHEMBL131320,200.0,active,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1
29,29,30,CHEMBL339297,50000.0,inactive,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1
30,30,31,CHEMBL337714,500.0,active,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C
31,31,32,CHEMBL122575,100000.0,inactive,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1
32,32,33,CHEMBL130704,50000.0,inactive,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1
33,33,34,CHEMBL46151,260000.0,inactive,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1
34,34,36,CHEMBL54126,22.0,active,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
35,35,38,CHEMBL297316,1000000.0,inactive,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1
36,36,39,CHEMBL65667,3800.0,intermediate,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12
37,37,40,CHEMBL431519,40.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
38,38,42,CHEMBL296429,1000000.0,inactive,Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1
39,39,43,CHEMBL154972,73.0,active,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1
40,40,44,CHEMBL152722,3100.0,intermediate,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1
41,41,45,CHEMBL544022,520000.0,inactive,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1
42,42,46,CHEMBL349127,4500.0,intermediate,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1
43,43,47,CHEMBL156659,1200.0,intermediate,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1
44,44,48,CHEMBL45118,1000000.0,inactive,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1
45,45,50,CHEMBL542609,1000000.0,inactive,Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1
46,46,51,CHEMBL155322,540.0,active,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
47,47,52,CHEMBL154211,30.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1
48,48,53,CHEMBL1203537,830.0,active,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N
49,49,54,CHEMBL86,20000.0,inactive,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
50,50,55,CHEMBL47375,1000000.0,inactive,COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1
51,51,56,CHEMBL542360,1000000.0,inactive,CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1
52,52,57,CHEMBL345849,390.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1
53,53,58,CHEMBL154689,390.0,active,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
54,54,59,CHEMBL346733,430.0,active,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
55,55,60,CHEMBL416464,1000000.0,inactive,COc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1
56,56,62,CHEMBL1203539,600.0,active,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
57,57,63,CHEMBL347729,2000.0,intermediate,CN(C)Cc1ccc(CNCCN2CCN/C2=C\[N+](=O)[O-])o1
58,58,64,CHEMBL296786,1000000.0,inactive,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1
59,59,65,CHEMBL63173,21000.0,inactive,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12
60,60,66,CHEMBL433041,290.0,active,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
61,61,67,CHEMBL292788,700.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12
62,62,68,CHEMBL33051,460000.0,inactive,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1
63,63,69,CHEMBL155392,630.0,active,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N
64,64,70,CHEMBL153311,2100.0,intermediate,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N
65,65,71,CHEMBL543546,330000.0,inactive,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C
66,66,72,CHEMBL1420,340000.0,inactive,C[n+]1ccccc1C=NO
67,67,73,CHEMBL556172,1000000.0,inactive,CCN(CC)CCS/C(=N\O)C(=O)c1ccccc1
68,68,74,CHEMBL154263,290.0,active,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1
69,69,75,CHEMBL544669,210000.0,inactive,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1
70,70,76,CHEMBL62664,40.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
71,71,77,CHEMBL155111,80.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1
72,72,78,CHEMBL1203534,95.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1
73,73,79,CHEMBL541044,710000.0,inactive,CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1
74,74,80,CHEMBL543779,180000.0,inactive,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1
75,75,81,CHEMBL155495,20000.0,inactive,CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N
76,76,82,CHEMBL64011,60.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
77,77,83,CHEMBL65585,70.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
78,78,84,CHEMBL347539,280.0,active,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N
79,79,85,CHEMBL154433,11000.0,inactive,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1
80,80,86,CHEMBL157208,1500.0,intermediate,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1
81,81,87,CHEMBL1790041,650.0,active,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
82,82,88,CHEMBL65356,930.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
83,83,89,CHEMBL154366,370.0,active,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1
84,84,90,CHEMBL153821,4500.0,intermediate,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
85,85,91,CHEMBL416644,720000.0,inactive,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1
86,86,92,CHEMBL94,30.0,active,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
87,87,93,CHEMBL303574,7600.0,intermediate,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
88,88,94,CHEMBL65018,80.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
89,89,95,CHEMBL296277,1000000.0,inactive,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1
90,90,96,CHEMBL66309,380.0,active,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
91,91,97,CHEMBL1203535,3300.0,intermediate,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1
92,92,98,CHEMBL296560,1000000.0,inactive,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1
93,93,100,CHEMBL152260,370.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1
94,94,101,CHEMBL154950,9300.0,intermediate,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1
95,95,102,CHEMBL296669,1000000.0,inactive,CN(C)CCCS/C(=N\O)C(=O)c1ccc(Br)cc1
96,96,103,CHEMBL1203538,120.0,active,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1
97,97,104,CHEMBL19060,7244.36,intermediate,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC
98,98,105,CHEMBL422977,4466.84,intermediate,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC
99,99,106,CHEMBL11805,169.82,active,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC
100,100,107,CHEMBL302179,6456.54,intermediate,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC
101,101,109,CHEMBL27673,5370.32,intermediate,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC
102,102,110,CHEMBL132377,309.03,active,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC
103,103,111,CHEMBL132133,501187.23,inactive,NCCCCCCNCCSSCCNCCCCCCN
